2025-11-05 09:42:55.494 [http-nio-0.0.0.0-8081-exec-6] INFO  c.e.amorproduct.interceptor.LoggingInterceptor - 执行时间: 2010 ms
2025-11-05 09:42:55.494 [http-nio-0.0.0.0-8081-exec-6] INFO  c.e.amorproduct.interceptor.LoggingInterceptor - ========== 请求结束 ==========

2025-11-05 09:43:03.874 [http-nio-0.0.0.0-8081-exec-4] INFO  c.e.amorproduct.interceptor.LoggingInterceptor - ========== 请求开始 ==========
2025-11-05 09:43:03.875 [http-nio-0.0.0.0-8081-exec-4] INFO  c.e.amorproduct.interceptor.LoggingInterceptor - 请求路径: POST /api/products/list
2025-11-05 09:43:03.875 [http-nio-0.0.0.0-8081-exec-4] INFO  c.e.amorproduct.interceptor.LoggingInterceptor - 客户端IP: 192.168.100.76
2025-11-05 09:43:03.875 [http-nio-0.0.0.0-8081-exec-8] INFO  c.e.amorproduct.interceptor.LoggingInterceptor - ========== 请求开始 ==========
2025-11-05 09:43:03.875 [http-nio-0.0.0.0-8081-exec-8] INFO  c.e.amorproduct.interceptor.LoggingInterceptor - 请求路径: GET /api/blind-boxes
2025-11-05 09:43:03.875 [http-nio-0.0.0.0-8081-exec-8] INFO  c.e.amorproduct.interceptor.LoggingInterceptor - 客户端IP: 192.168.100.76
2025-11-05 09:43:04.878 [http-nio-0.0.0.0-8081-exec-8] INFO  c.e.amorproduct.interceptor.LoggingInterceptor - 响应状态: 200
2025-11-05 09:43:04.878 [http-nio-0.0.0.0-8081-exec-8] INFO  c.e.amorproduct.interceptor.LoggingInterceptor - 执行时间: 1003 ms
2025-11-05 09:43:04.878 [http-nio-0.0.0.0-8081-exec-8] INFO  c.e.amorproduct.interceptor.LoggingInterceptor - ========== 请求结束 ==========

2025-11-05 09:43:05.881 [http-nio-0.0.0.0-8081-exec-4] INFO  c.e.amorproduct.interceptor.LoggingInterceptor - 响应状态: 200
2025-11-05 09:43:05.881 [http-nio-0.0.0.0-8081-exec-4] INFO  c.e.amorproduct.interceptor.LoggingInterceptor - 执行时间: 2007 ms
2025-11-05 09:43:05.881 [http-nio-0.0.0.0-8081-exec-4] INFO  c.e.amorproduct.interceptor.LoggingInterceptor - ========== 请求结束 ==========

2025-11-05 09:44:12.574 [http-nio-0.0.0.0-8081-exec-9] INFO  c.e.amorproduct.interceptor.LoggingInterceptor - ========== 请求开始 ==========
2025-11-05 09:44:12.574 [http-nio-0.0.0.0-8081-exec-9] INFO  c.e.amorproduct.interceptor.LoggingInterceptor - 请求路径: GET /api/blind-boxes
2025-11-05 09:44:12.574 [http-nio-0.0.0.0-8081-exec-10] INFO  c.e.amorproduct.interceptor.LoggingInterceptor - ========== 请求开始 ==========
2025-11-05 09:44:12.575 [http-nio-0.0.0.0-8081-exec-9] INFO  c.e.amorproduct.interceptor.LoggingInterceptor - 客户端IP: 192.168.100.76
2025-11-05 09:44:12.575 [http-nio-0.0.0.0-8081-exec-10] INFO  c.e.amorproduct.interceptor.LoggingInterceptor - 请求路径: POST /api/products/list
2025-11-05 09:44:12.575 [http-nio-0.0.0.0-8081-exec-10] INFO  c.e.amorproduct.interceptor.LoggingInterceptor - 客户端IP: 192.168.100.76
2025-11-05 09:44:13.581 [http-nio-0.0.0.0-8081-exec-9] INFO  c.e.amorproduct.interceptor.LoggingInterceptor - 响应状态: 200
2025-11-05 09:44:13.581 [http-nio-0.0.0.0-8081-exec-9] INFO  c.e.amorproduct.interceptor.LoggingInterceptor - 执行时间: 1007 ms
2025-11-05 09:44:13.581 [http-nio-0.0.0.0-8081-exec-9] INFO  c.e.amorproduct.interceptor.LoggingInterceptor - ========== 请求结束 ==========

2025-11-05 09:44:14.586 [http-nio-0.0.0.0-8081-exec-10] INFO  c.e.amorproduct.interceptor.LoggingInterceptor - 响应状态: 200
2025-11-05 09:44:14.587 [http-nio-0.0.0.0-8081-exec-10] INFO  c.e.amorproduct.interceptor.LoggingInterceptor - 执行时间: 2012 ms
2025-11-05 09:44:14.587 [http-nio-0.0.0.0-8081-exec-10] INFO  c.e.amorproduct.interceptor.LoggingInterceptor - ========== 请求结束 ==========

2025-11-05 09:44:25.308 [http-nio-0.0.0.0-8081-exec-1] INFO  c.e.amorproduct.interceptor.LoggingInterceptor - ========== 请求开始 ==========
2025-11-05 09:44:25.308 [http-nio-0.0.0.0-8081-exec-1] INFO  c.e.amorproduct.interceptor.LoggingInterceptor - 请求路径: POST /api/products/list
2025-11-05 09:44:25.308 [http-nio-0.0.0.0-8081-exec-1] INFO  c.e.amorproduct.interceptor.LoggingInterceptor - 客户端IP: 192.168.100.76
2025-11-05 09:44:25.309 [http-nio-0.0.0.0-8081-exec-3] INFO  c.e.amorproduct.interceptor.LoggingInterceptor - ========== 请求开始 ==========
2025-11-05 09:44:25.309 [http-nio-0.0.0.0-8081-exec-3] INFO  c.e.amorproduct.interceptor.LoggingInterceptor - 请求路径: GET /api/blind-boxes
2025-11-05 09:44:25.309 [http-nio-0.0.0.0-8081-exec-3] INFO  c.e.amorproduct.interceptor.LoggingInterceptor - 客户端IP: 192.168.100.76
2025-11-05 09:44:26.314 [http-nio-0.0.0.0-8081-exec-1] INFO  c.e.amorproduct.interceptor.LoggingInterceptor - 响应状态: 200
2025-11-05 09:44:26.314 [http-nio-0.0.0.0-8081-exec-1] INFO  c.e.amorproduct.interceptor.LoggingInterceptor - 执行时间: 1006 ms
2025-11-05 09:44:26.314 [http-nio-0.0.0.0-8081-exec-1] INFO  c.e.amorproduct.interceptor.LoggingInterceptor - ========== 请求结束 ==========

2025-11-05 09:44:27.318 [http-nio-0.0.0.0-8081-exec-3] INFO  c.e.amorproduct.interceptor.LoggingInterceptor - 响应状态: 200
2025-11-05 09:44:27.318 [http-nio-0.0.0.0-8081-exec-3] INFO  c.e.amorproduct.interceptor.LoggingInterceptor - 执行时间: 2009 ms
2025-11-05 09:44:27.318 [http-nio-0.0.0.0-8081-exec-3] INFO  c.e.amorproduct.interceptor.LoggingInterceptor - ========== 请求结束 ==========

2025-11-05 09:44:43.949 [http-nio-0.0.0.0-8081-exec-5] INFO  c.e.amorproduct.interceptor.LoggingInterceptor - ========== 请求开始 ==========
2025-11-05 09:44:43.949 [http-nio-0.0.0.0-8081-exec-7] INFO  c.e.amorproduct.interceptor.LoggingInterceptor - ========== 请求开始 ==========
2025-11-05 09:44:43.950 [http-nio-0.0.0.0-8081-exec-5] INFO  c.e.amorproduct.interceptor.LoggingInterceptor - 请求路径: GET /api/blind-boxes
2025-11-05 09:44:43.950 [http-nio-0.0.0.0-8081-exec-7] INFO  c.e.amorproduct.interceptor.LoggingInterceptor - 请求路径: POST /api/products/list
2025-11-05 09:44:43.950 [http-nio-0.0.0.0-8081-exec-5] INFO  c.e.amorproduct.interceptor.LoggingInterceptor - 客户端IP: 192.168.100.76
2025-11-05 09:44:43.950 [http-nio-0.0.0.0-8081-exec-7] INFO  c.e.amorproduct.interceptor.LoggingInterceptor - 客户端IP: 192.168.100.76
2025-11-05 09:44:44.954 [http-nio-0.0.0.0-8081-exec-5] INFO  c.e.amorproduct.interceptor.LoggingInterceptor - 响应状态: 200
2025-11-05 09:44:44.954 [http-nio-0.0.0.0-8081-exec-5] INFO  c.e.amorproduct.interceptor.LoggingInterceptor - 执行时间: 1005 ms
2025-11-05 09:44:44.954 [http-nio-0.0.0.0-8081-exec-5] INFO  c.e.amorproduct.interceptor.LoggingInterceptor - ========== 请求结束 ==========

2025-11-05 09:44:45.959 [http-nio-0.0.0.0-8081-exec-7] INFO  c.e.amorproduct.interceptor.LoggingInterceptor - 响应状态: 200
2025-11-05 09:44:45.959 [http-nio-0.0.0.0-8081-exec-7] INFO  c.e.amorproduct.interceptor.LoggingInterceptor - 执行时间: 2010 ms
2025-11-05 09:44:45.959 [http-nio-0.0.0.0-8081-exec-7] INFO  c.e.amorproduct.interceptor.LoggingInterceptor - ========== 请求结束 ==========

